Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
12,100,64,61548,1.0398388
6,100,64,72557,0.8820652
11,100,64,167771,0.38147238
7,100,64,184885,0.34616113
1,100,64,193427,0.33087417
5,100,64,196351,0.3259469
2,100,64,197622,0.32385057
10,100,64,213109,0.3003158
3,100,64,215195,0.29740468
8,100,64,215965,0.2963443
13,100,64,218440,0.29298663
15,100,64,218711,0.29262358
16,100,64,222507,0.28763142
4,100,64,224060,0.28563777
9,100,64,227691,0.2810827
14,100,64,228221,0.28042993
